Name,Genre,Platform,Global_Sales,Cluster
Wii Sports,Sports,Wii,82.74,1
Super Mario Bros.,Platform,NES,40.24,1
Mario Kart Wii,Racing,Wii,35.82,1
Wii Sports Resort,Sports,Wii,33.0,1
Pokemon Red/Pokemon Blue,Role-Playing,GB,31.37,1
Tetris,Puzzle,GB,30.26,1
New Super Mario Bros.,Platform,DS,30.01,1
Wii Play,Misc,Wii,29.02,1
New Super Mario Bros. Wii,Platform,Wii,28.62,1
Duck Hunt,Shooter,NES,28.31,1
Nintendogs,Simulation,DS,24.76,1
Mario Kart DS,Racing,DS,23.42,1
Pokemon Gold/Pokemon Silver,Role-Playing,GB,23.1,1
Wii Fit,Sports,Wii,22.72,1
Wii Fit Plus,Sports,Wii,22.0,1
Kinect Adventures!,Misc,X360,21.82,1
Grand Theft Auto V,Action,PS3,21.4,1
Grand Theft Auto: San Andreas,Action,PS2,20.81,1
Super Mario World,Platform,SNES,20.61,1
Brain Age: Train Your Brain in Minutes a Day,Misc,DS,20.22,1
Pokemon Diamond/Pokemon Pearl,Role-Playing,DS,18.36,1
Super Mario Land,Platform,GB,18.14,1
Super Mario Bros. 3,Platform,NES,17.28,1
Grand Theft Auto V,Action,X360,16.38,3
Grand Theft Auto: Vice City,Action,PS2,16.15,3
Pokemon Ruby/Pokemon Sapphire,Role-Playing,GBA,15.85,1
Pokemon Black/Pokemon White,Role-Playing,DS,15.32,1
Brain Age 2: More Training in Minutes a Day,Puzzle,DS,15.3,1
Gran Turismo 3: A-Spec,Racing,PS2,14.98,3
Call of Duty: Modern Warfare 3,Shooter,X360,14.76,3
Pokémon Yellow: Special Pikachu Edition,Role-Playing,GB,14.64,3
Call of Duty: Black Ops,Shooter,X360,14.64,3
Pokemon X/Pokemon Y,Role-Playing,3DS,14.35,3
Call of Duty: Black Ops 3,Shooter,PS4,14.24,3
Call of Duty: Black Ops II,Shooter,PS3,14.03,3
Call of Duty: Black Ops II,Shooter,X360,13.73,3
Call of Duty: Modern Warfare 2,Shooter,X360,13.51,3
Call of Duty: Modern Warfare 3,Shooter,PS3,13.46,3
Grand Theft Auto III,Action,PS2,13.1,3
Super Smash Bros. Brawl,Fighting,Wii,13.04,3
Call of Duty: Black Ops,Shooter,PS3,12.73,3
Animal Crossing: Wild World,Simulation,DS,12.27,3
Mario Kart 7,Racing,3DS,12.21,3
Halo 3,Shooter,X360,12.14,3
Grand Theft Auto V,Action,PS4,11.98,3
Pokemon HeartGold/Pokemon SoulSilver,Action,DS,11.9,3
Super Mario 64,Platform,N64,11.89,3
Gran Turismo 4,Racing,PS2,11.66,1
Super Mario Galaxy,Platform,Wii,11.52,3
Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,3DS,11.33,3
Super Mario Land 2: 6 Golden Coins,Adventure,GB,11.18,3
Grand Theft Auto IV,Action,X360,11.02,3
Gran Turismo,Racing,PS,10.95,3
Super Mario 3D Land,Platform,3DS,10.79,3
Gran Turismo 5,Racing,PS3,10.77,3
