food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Nutrition Density,Protein_Category,Carbohydrate_Category,Fat_Category,Fiber_Category,Sugar_Category,Calorie_Category,Cholesterol_Category,Sodium_Category,Meal_Category
cream cheese,51,5.0,2.9,1.3,0.2,0.8,0.5,0.9,0.0,14.6,0.016,7.6,7.07,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
neufchatel cheese,215,19.4,10.9,4.9,0.8,3.1,2.7,7.8,0.0,62.9,0.3,53.6,130.1,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Snacks
requeijao cremoso light catupiry,49,3.6,2.3,0.9,0.0,0.9,3.4,0.8,0.1,0.0,0.0,0.0,5.4,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
ricotta cheese,30,2.0,1.3,0.5,0.002,1.5,0.091,1.5,0.0,9.8,0.017,14.7,5.196,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
cream cheese low fat,30,2.3,1.4,0.6,0.042,1.2,0.9,1.2,0.0,8.1,0.046,10.0,27.007,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
cream cheese fat free,19,0.2,0.1,0.091,0.075,1.4,1.0,2.8,0.0,2.2,0.1,12.9,67.679,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
gruyere cheese,116,9.1,5.3,2.8,0.5,0.1,0.1,8.3,0.0,30.8,0.2,9.3,300.694,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Snacks
cheddar cheese,113,9.3,5.3,2.6,0.3,0.9,0.1,6.4,0.0,27.7,0.2,10.3,215.53,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Snacks
parmesan cheese,71,4.5,2.7,1.4,0.1,0.6,0.046,6.4,0.0,12.2,0.2,5.4,224.777,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
romano cheese,19,1.3,0.9,0.4,0.035,0.2,0.088,1.6,0.0,5.2,0.008,1.5,56.38,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
parmesan cheese grated,21,1.4,0.8,0.4,0.036,0.7,0.075,1.4,0.0,4.3,0.043,1.1,3.745,Not High-Protein,Low-Carb,Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Low-Chol,Low-Sodium,Snacks
port salut cheese,465,37.2,22.0,12.3,1.0,0.8,0.8,31.4,0.0,162.4,0.7,60.0,928.4,High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Not Low-Cal,Not Low-Chol,Low-Sodium,Dinner
swiss cheese,98,7.7,4.6,2.0,0.3,0.4,0.0,6.7,0.0,23.3,0.057,9.4,237.396,Not High-Protein,Low-Carb,Not Low-Fat,Not High-Fiber,Low-Sugar,Low-Cal,Not Low-Chol,Low-Sodium,Snacks
